,year,month,highest,MHHW,MHW,MSL,MTL,MLW,MLLW,DTL,GT,MN,DHQ,DLQ,HWI,LWI,lowest,inferred
107,1911,6,0.102,,-0.260,-0.422,-0.434,-0.605,,,,0.344,,,11.760,5.880,-0.812,0
108,1911,7,-0.081,,-0.334,-0.474,-0.495,-0.660,,,,0.326,,,11.710,5.890,-0.934,0
109,1911,8,0.102,,-0.245,-0.404,-0.416,-0.584,,,,0.338,,,11.750,5.820,-0.934,0
110,1911,9,0.224,,-0.203,-0.355,-0.370,-0.541,,,,0.338,,,11.770,5.960,-1.025,0
111,1911,10,0.224,,-0.239,-0.379,-0.395,-0.550,,,,0.311,,,11.820,5.860,-0.965,0
112,1911,11,0.072,,-0.459,-0.605,-0.623,-0.788,,,,0.329,,,11.530,5.820,-1.361,0
113,1911,12,-0.111,,-0.465,-0.608,-0.620,-0.776,,,,0.311,,,11.860,5.950,-1.391,0
114,1912,1,-0.081,,-0.541,-0.724,-0.715,-0.888,,,,0.347,,,11.790,5.950,-1.513,0
115,1912,2,0.133,,-0.489,-0.657,-0.660,-0.830,,,,0.341,,,11.780,5.910,-1.574,0
116,1912,3,0.102,,-0.452,-0.617,-0.620,-0.788,,,,0.335,,,11.780,6.010,-1.300,0
117,1912,4,-0.111,,-0.404,-0.571,-0.580,-0.757,,,,0.354,,,11.670,6.040,-1.330,0
118,1912,5,0.133,,-0.291,-0.446,-0.465,-0.635,,,,0.344,,,11.850,5.910,-0.934,0
119,1912,6,0.133,,-0.315,-0.474,-0.489,-0.663,,,,0.347,,,11.780,5.950,-0.934,0
120,1912,7,0.072,,-0.303,-0.474,-0.483,-0.660,,,,0.357,,,11.880,5.980,-1.025,0
121,1912,8,0.133,,-0.279,-0.452,-0.459,-0.635,,,,0.357,,,11.850,5.900,-0.965,0
122,1912,9,0.346,,-0.169,-0.327,-0.343,-0.513,,,,0.344,,,11.780,6.090,-0.995,0
123,1912,10,0.072,,-0.309,-0.468,-0.477,-0.641,,,,0.332,,,11.730,6.030,-1.086,0
124,1912,11,0.041,,-0.425,-0.577,-0.587,-0.745,,,,0.320,,,11.760,6.050,-1.361,0
125,1912,12,-0.111,,-0.498,-0.660,-0.666,-0.830,,,,0.332,,,11.790,6.070,-1.361,0
126,1913,1,0.316,,-0.465,-0.617,-0.635,-0.809,,,,0.344,,,11.790,6.090,-1.361,0
127,1913,2,-0.081,,-0.516,-0.681,-0.684,-0.849,,,,0.332,,,11.710,6.050,-1.391,0
128,1913,3,-0.111,,-0.520,-0.684,-0.690,-0.864,,,,0.344,,,11.630,6.120,-1.208,0
129,1913,4,0.041,,-0.398,-0.556,-0.562,-0.730,,,,0.332,,,11.770,5.990,-1.300,0
130,1913,5,0.041,,-0.352,-0.510,-0.520,-0.687,,,,0.335,,,11.740,5.940,-1.178,0
131,1913,6,0.072,,-0.312,-0.468,-0.477,-0.638,,,,0.326,,,11.720,5.860,-0.965,0
132,1913,7,0.133,,-0.300,-0.477,-0.483,-0.666,,,,0.366,,,11.760,5.990,-1.025,0
133,1913,8,0.041,,-0.221,-0.395,-0.404,-0.584,,,,0.363,,,11.680,5.940,-0.965,0
134,1913,9,0.255,,-0.245,-0.416,-0.422,-0.602,,,,0.357,,,11.760,5.960,-0.965,0
135,1913,10,0.559,,-0.251,-0.407,-0.410,-0.568,,,,0.317,,,11.820,5.960,-1.117,0
136,1913,11,0.377,,-0.385,-0.535,-0.544,-0.699,,,,0.314,,,11.680,6.020,-1.239,0
137,1913,12,-0.020,,-0.459,-0.608,-0.611,-0.766,,,,0.308,,,11.820,6.120,-1.666,0
138,1914,1,0.468,,-0.382,-0.541,-0.550,-0.715,,,,0.332,,,11.630,5.920,-1.513,0
139,1914,2,0.072,,-0.559,-0.708,-0.721,-0.879,,,,0.320,,,11.640,5.930,-1.574,0
140,1914,3,0.041,,-0.516,-0.678,-0.684,-0.852,,,,0.335,,,11.790,5.840,-1.818,0
141,1914,4,-0.020,,-0.340,-0.498,-0.507,-0.675,,,,0.335,,,11.660,5.890,-1.117,0
142,1914,5,0.041,,-0.331,-0.498,-0.507,-0.681,,,,0.351,,,11.690,5.980,-0.934,0
143,1914,6,0.072,,-0.315,-0.483,-0.489,-0.663,,,,0.347,,,11.730,5.900,-1.025,0
144,1914,7,0.102,,-0.239,-0.416,-0.422,-0.602,,,,0.363,,,11.760,5.990,-0.904,0
145,1914,8,0.072,,-0.251,-0.422,-0.425,-0.599,,,,0.347,,,11.840,6.030,-0.904,0
146,1914,9,0.041,,-0.288,-0.468,-0.456,-0.623,,,,0.335,,,11.720,5.850,-0.904,0
147,1914,10,0.072,,-0.236,-0.398,-0.401,-0.565,,,,0.329,,,11.830,5.910,-1.117,0
148,1914,11,0.133,,-0.431,-0.584,-0.587,-0.745,,,,0.314,,,11.620,5.980,-1.208,0
149,1914,12,0.133,,-0.388,-0.541,-0.547,-0.705,,,,0.317,,,11.780,5.980,-1.269,0
150,1915,1,0.224,,-0.379,-0.541,-0.544,-0.705,,,,0.326,,,11.670,5.930,-1.513,0
151,1915,2,0.041,,-0.401,-0.553,-0.556,-0.712,,,,0.311,,,11.790,6.130,-1.239,0
152,1915,3,0.011,,-0.449,-0.602,-0.599,-0.748,,,,0.299,,,11.720,5.850,-1.208,0
153,1915,4,0.072,,-0.437,-0.596,-0.608,-0.779,,,,0.341,,,11.700,5.780,-1.391,0
154,1915,5,0.072,,-0.306,-0.465,-0.477,-0.651,,,,0.344,,,11.770,5.940,-0.965,0
155,1915,6,0.133,,-0.233,-0.398,-0.404,-0.574,,,,0.341,,,11.690,6.040,-1.025,0
156,1915,7,0.041,,-0.221,-0.382,-0.391,-0.559,,,,0.338,,,11.860,5.980,-0.843,0
157,1915,8,1.108,,-0.163,-0.349,-0.346,-0.529,,,,0.366,,,11.930,6.080,-0.934,0
158,1915,9,0.316,,-0.233,-0.401,-0.404,-0.574,,,,0.341,,,11.640,5.850,-1.117,0
159,1915,10,0.163,,-0.251,-0.410,-0.410,-0.571,,,,0.320,,,11.720,5.950,-0.995,0
160,1915,11,0.255,,-0.349,-0.498,-0.507,-0.663,,,,0.314,,,11.750,5.970,-1.178,0
161,1915,12,0.163,,-0.498,-0.648,-0.654,-0.812,,,,0.314,,,11.860,5.880,-1.208,0
162,1916,1,0.011,,-0.440,-0.599,-0.605,-0.766,,,,0.326,,,11.720,6.020,-1.269,0
163,1916,2,-0.020,,-0.529,-0.696,-0.699,-0.870,,,,0.341,,,11.830,5.980,-1.666,0
164,1916,3,0.072,,-0.462,-0.623,-0.629,-0.800,,,,0.338,,,11.960,5.690,-1.513,0
165,1916,4,0.163,,-0.312,-0.483,-0.486,-0.660,,,,0.347,,,11.550,5.880,-1.361,0
166,1916,5,0.102,,-0.315,-0.483,-0.483,-0.654,,,,0.338,,,11.730,5.930,-1.056,0
167,1916,6,0.346,,-0.193,-0.352,-0.367,-0.538,,,,0.344,,,11.780,5.920,-0.934,0
168,1916,7,0.163,,-0.221,-0.382,-0.388,-0.556,,,,0.335,,,11.830,5.980,-0.843,0
169,1916,8,0.133,,-0.209,-0.382,-0.385,-0.562,,,,0.354,,,11.700,5.860,-0.904,0
170,1916,9,0.041,,-0.236,-0.404,-0.407,-0.577,,,,0.341,,,11.690,6.000,-1.269,0
171,1916,10,0.316,,-0.276,-0.434,-0.437,-0.599,,,,0.323,,,11.660,5.750,-1.269,0
172,1916,11,-0.020,,-0.358,-0.513,-0.516,-0.675,,,,0.317,,,11.670,5.810,-1.208,0
173,1916,12,-0.142,,-0.489,-0.638,-0.648,-0.806,,,,0.317,,,11.700,5.970,-1.239,0
174,1917,1,0.011,,-0.459,-0.620,-0.623,-0.788,,,,0.329,,,11.640,5.850,-1.269,0
175,1917,2,-0.142,,-0.526,-0.693,-0.696,-0.870,,,,0.344,,,11.550,5.820,-1.696,0
176,1917,3,0.041,,-0.373,-0.523,-0.532,-0.693,,,,0.320,,,11.710,5.850,-1.361,0
177,1917,4,0.377,,-0.379,-0.541,-0.544,-0.708,,,,0.329,,,11.770,5.960,-1.208,0
178,1917,5,0.041,,-0.273,-0.437,-0.446,-0.617,,,,0.344,,,11.620,5.900,-1.086,0
179,1917,6,0.041,,-0.267,-0.434,-0.437,-0.608,,,,0.341,,,11.740,6.160,-0.934,0
180,1917,7,0.011,,-0.227,-0.395,-0.404,-0.577,,,,0.351,,,11.840,6.000,-0.934,0
181,1917,8,0.011,,-0.212,-0.382,-0.385,-0.556,,,,0.344,,,11.740,5.940,-0.873,0
182,1917,9,0.072,,-0.239,-0.410,-0.410,-0.584,,,,0.344,,,11.650,5.890,-0.965,0
183,1917,10,0.377,,-0.279,-0.440,-0.446,-0.611,,,,0.332,,,11.860,6.000,-1.147,0
184,1917,11,-0.020,,-0.391,-0.541,-0.547,-0.702,,,,0.311,,,11.800,6.020,-1.147,0
185,1917,12,0.285,,-0.468,-0.632,-0.635,-0.803,,,,0.335,,,11.740,5.860,-1.513,0
186,1918,1,0.194,,-0.434,-0.584,-0.593,-0.748,,,,0.314,,,11.700,5.820,-1.117,0
187,1918,2,-0.111,,-0.459,-0.620,-0.623,-0.788,,,,0.329,,,11.660,5.940,-1.483,0
188,1918,3,0.011,,-0.382,-0.541,-0.547,-0.712,,,,0.329,,,11.690,5.880,-1.391,0
189,1918,4,0.255,,-0.263,-0.431,-0.434,-0.608,,,,0.344,,,11.680,5.990,-0.904,0
190,1918,5,0.102,,-0.309,-0.483,-0.489,-0.666,,,,0.357,,,11.820,5.990,-1.056,0
191,1918,6,0.346,,-0.221,-0.388,-0.398,-0.577,,,,0.357,,,11.790,5.940,-1.086,0
192,1918,7,-0.020,,-0.245,-0.416,-0.422,-0.602,,,,0.357,,,11.730,5.980,-0.995,0
193,1918,8,0.072,,-0.218,-0.391,-0.391,-0.565,,,,0.347,,,11.680,5.940,-0.812,0
194,1918,9,0.102,,-0.245,-0.413,-0.416,-0.584,,,,0.338,,,11.650,5.970,-1.086,0
195,1918,10,0.224,,-0.257,-0.422,-0.425,-0.593,,,,0.335,,,11.820,5.940,-1.178,0
196,1918,11,0.102,,-0.355,-0.504,-0.510,-0.666,,,,0.311,,,11.820,5.880,-1.117,0
197,1918,12,0.102,,-0.346,-0.501,-0.507,-0.666,,,,0.320,,,11.640,6.120,-1.605,0
198,1919,1,-0.111,,-0.483,-0.638,-0.638,-0.794,,,,0.311,,,11.730,6.030,-1.300,0
199,1919,2,0.011,,-0.428,-0.584,-0.584,-0.739,,,,0.311,,,11.610,5.850,-1.178,0
200,1919,3,0.224,,-0.422,-0.580,-0.593,-0.760,,,,0.338,,,11.710,5.990,-1.940,0
201,1919,4,0.011,,-0.358,-0.516,-0.520,-0.684,,,,0.326,,,11.710,5.750,-1.178,0
202,1919,5,0.133,,-0.181,-0.346,-0.355,-0.526,,,,0.344,,,11.600,5.850,-0.843,0
203,1919,6,0.285,,-0.139,-0.303,-0.309,-0.480,,,,0.341,,,11.770,5.950,-0.843,0
204,1919,7,0.224,,-0.151,-0.324,-0.327,-0.504,,,,0.354,,,11.790,5.910,-0.782,0
205,1919,8,0.163,,-0.172,-0.352,-0.355,-0.535,,,,0.363,,,11.670,5.940,-1.147,0
206,1919,9,0.285,,-0.206,-0.373,-0.373,-0.544,,,,0.338,,,11.760,5.950,-0.843,0
207,1919,10,0.255,,-0.181,-0.352,-0.355,-0.526,,,,0.344,,,11.750,5.980,-0.873,0
208,1919,11,0.285,,-0.236,-0.391,-0.398,-0.559,,,,0.323,,,11.570,5.990,-1.025,0
209,1919,12,0.133,,-0.413,-0.577,-0.580,-0.745,,,,0.332,,,11.720,5.760,-1.330,0
210,1920,1,-0.050,,-0.468,-0.638,-0.641,-0.818,,,,0.351,,,11.820,5.930,-1.391,0
211,1920,2,0.011,,-0.443,-0.614,-0.614,-0.785,,,,0.341,,,11.750,6.020,-1.452,0
212,1920,3,-0.020,,-0.483,-0.654,-0.660,-0.837,,,,0.354,,,11.870,5.970,-1.513,0
213,1920,4,0.133,,-0.251,-0.425,-0.428,-0.608,,,,0.357,,,11.620,5.910,-1.178,0
214,1920,5,0.041,,-0.251,-0.416,-0.425,-0.599,,,,0.347,,,11.630,5.790,-0.995,0
215,1920,6,0.133,,-0.236,-0.416,-0.416,-0.599,,,,0.363,,,11.760,5.950,-0.873,0
216,1920,7,0.041,,-0.276,-0.449,-0.452,-0.629,,,,0.354,,,11.850,5.900,-0.904,0
217,1920,8,-0.020,,-0.230,-0.404,-0.404,-0.580,,,,0.351,,,11.780,5.950,-0.843,0
218,1920,9,0.011,,-0.227,-0.404,-0.404,-0.580,,,,0.354,,,11.690,5.810,-0.995,0
219,1920,10,0.224,,-0.248,-0.416,-0.416,-0.584,,,,0.335,,,11.730,5.880,-1.086,0
220,1920,11,0.377,,-0.312,-0.477,-0.477,-0.644,,,,0.332,,,11.710,5.950,-1.117,0
221,1920,12,0.224,,-0.349,-0.510,-0.513,-0.681,,,,0.332,,,11.880,6.020,-1.147,0
222,1921,1,0.041,,-0.452,-0.614,-0.623,-0.791,,,,0.338,,,11.760,5.960,-1.544,0
223,1921,2,0.133,,-0.343,-0.510,-0.513,-0.681,,,,0.338,,,11.740,6.010,-1.391,0
224,1921,3,0.102,,-0.358,-0.526,-0.532,-0.702,,,,0.344,,,11.720,5.980,-1.391,0
225,1921,4,0.163,,-0.300,-0.465,-0.468,-0.635,,,,0.335,,,11.650,5.910,-1.361,0
226,1921,5,0.407,,-0.163,-0.331,-0.334,-0.504,,,,0.341,,,11.710,5.870,-1.025,0
227,1921,6,0.133,,-0.233,-0.404,-0.410,-0.584,,,,0.351,,,11.670,5.800,-0.873,0
228,1921,7,-0.020,,-0.215,-0.391,-0.395,-0.574,,,,0.360,,,11.720,5.870,-0.843,0
229,1921,8,0.102,,-0.242,-0.419,-0.419,-0.596,,,,0.354,,,11.740,5.870,-0.995,0
230,1921,9,0.163,,-0.184,-0.355,-0.361,-0.535,,,,0.351,,,11.750,5.770,-0.965,0
231,1921,10,0.133,,-0.343,-0.504,-0.507,-0.672,,,,0.329,,,11.750,5.800,-1.086,0
232,1921,11,0.255,,-0.309,-0.468,-0.471,-0.629,,,,0.320,,,11.750,5.980,-1.056,0
233,1921,12,0.072,,-0.401,-0.550,-0.556,-0.708,,,,0.308,,,11.620,6.000,-1.300,0
234,1922,1,0.041,,-0.584,-0.742,-0.745,-0.910,,,,0.326,,,11.780,5.980,-1.422,0
235,1922,2,0.011,,-0.431,-0.599,-0.602,-0.772,,,,0.341,,,11.880,6.070,-1.452,0
236,1922,3,0.041,,-0.382,-0.547,-0.550,-0.715,,,,0.332,,,11.730,5.850,-1.178,0
237,1922,4,0.072,,-0.337,-0.498,-0.504,-0.672,,,,0.335,,,11.660,5.870,-1.056,0
238,1922,5,0.194,,-0.257,-0.422,-0.428,-0.596,,,,0.338,,,11.700,5.900,-0.873,0
239,1922,6,0.011,,-0.236,-0.413,-0.416,-0.599,,,,0.363,,,11.700,5.960,-0.965,0
240,1922,7,0.102,,-0.206,-0.388,-0.388,-0.571,,,,0.366,,,11.750,5.960,-0.934,0
241,1922,8,0.041,,-0.230,-0.401,-0.404,-0.574,,,,0.344,,,11.800,5.890,-0.995,0
242,1922,9,0.102,,-0.187,-0.361,-0.361,-0.532,,,,0.344,,,11.800,5.940,-0.873,0
243,1922,10,0.133,,-0.254,-0.422,-0.422,-0.590,,,,0.335,,,11.790,5.890,-1.269,0
