,year,month,highest,MHHW,MHW,MSL,MTL,MLW,MLLW,DTL,GT,MN,DHQ,DLQ,HWI,LWI,lowest,inferred
112,1911,11,0.334,,-0.197,-0.343,-0.361,-0.526,,,,0.329,,,11.530,5.820,-1.099,0
113,1911,12,0.151,,-0.203,-0.346,-0.358,-0.514,,,,0.311,,,11.860,5.950,-1.129,0
114,1912,1,0.181,,-0.279,-0.462,-0.453,-0.626,,,,0.347,,,11.790,5.950,-1.251,0
115,1912,2,0.395,,-0.227,-0.395,-0.398,-0.568,,,,0.341,,,11.780,5.910,-1.312,0
116,1912,3,0.364,,-0.190,-0.355,-0.358,-0.526,,,,0.335,,,11.780,6.010,-1.038,0
117,1912,4,0.151,,-0.142,-0.309,-0.318,-0.495,,,,0.354,,,11.670,6.040,-1.068,0
118,1912,5,0.395,,-0.029,-0.184,-0.203,-0.373,,,,0.344,,,11.850,5.910,-0.672,0
119,1912,6,0.395,,-0.053,-0.212,-0.227,-0.401,,,,0.347,,,11.780,5.950,-0.672,0
120,1912,7,0.334,,-0.041,-0.212,-0.221,-0.398,,,,0.357,,,11.880,5.980,-0.763,0
121,1912,8,0.395,,-0.017,-0.190,-0.197,-0.373,,,,0.357,,,11.850,5.900,-0.703,0
122,1912,9,0.608,,0.093,-0.065,-0.081,-0.251,,,,0.344,,,11.780,6.090,-0.733,0
123,1912,10,0.334,,-0.047,-0.206,-0.215,-0.379,,,,0.332,,,11.730,6.030,-0.824,0
124,1912,11,0.303,,-0.163,-0.315,-0.325,-0.483,,,,0.320,,,11.760,6.050,-1.099,0
125,1912,12,0.151,,-0.236,-0.398,-0.404,-0.568,,,,0.332,,,11.790,6.070,-1.099,0
126,1913,1,0.578,,-0.203,-0.355,-0.373,-0.547,,,,0.344,,,11.790,6.090,-1.099,0
127,1913,2,0.181,,-0.254,-0.419,-0.422,-0.587,,,,0.332,,,11.710,6.050,-1.129,0
128,1913,3,0.151,,-0.258,-0.422,-0.428,-0.602,,,,0.344,,,11.630,6.120,-0.946,0
129,1913,4,0.303,,-0.136,-0.294,-0.300,-0.468,,,,0.332,,,11.770,5.990,-1.038,0
130,1913,5,0.303,,-0.090,-0.248,-0.258,-0.425,,,,0.335,,,11.740,5.940,-0.916,0
131,1913,6,0.334,,-0.050,-0.206,-0.215,-0.376,,,,0.326,,,11.720,5.860,-0.703,0
132,1913,7,0.395,,-0.038,-0.215,-0.221,-0.404,,,,0.366,,,11.760,5.990,-0.763,0
133,1913,8,0.303,,0.041,-0.133,-0.142,-0.322,,,,0.363,,,11.680,5.940,-0.703,0
134,1913,9,0.517,,0.017,-0.154,-0.160,-0.340,,,,0.357,,,11.760,5.960,-0.703,0
135,1913,10,0.821,,0.011,-0.145,-0.148,-0.306,,,,0.317,,,11.820,5.960,-0.855,0
