GISJOIN,TotalTransactions,MedianSalesPriceAmount,MeanSqfeet,MeanAge,MeanNoOfStories,MeanFullBathNumber,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,residuals,perc_area_flood,N_perc_area_flood
G24000504211011,718,80000,1292.385794,75.3356546,1.866295265,1.838440111,0.138028808,0.571322798,0.616009802,0.332018425,-44721.94887,0,0
G24000504211012,502,1.00E+05,1317.946215,81.68326693,1.881474104,1.501992032,0.145183528,0.532484588,0.608761242,0.197186405,58.60554887,0,0
G24000504211021,624,105000,1245.628205,69.71794872,1.626602564,1.291666667,0.124940703,0.605695037,0.730473549,0.112898233,-1178.070842,0,0
G24000504211022,559,78000,969.2969589,71.10554562,1.989266547,1.127012522,0.047591715,0.59720495,0.557285636,0.046912863,28285.29577,0,0
G24000504212001,545,104474,1219.033028,71.66788991,1.393577982,1.422018349,0.11749634,0.593764216,0.841752978,0.165136845,-20397.51362,0,0
G24000504212002,383,1.00E+05,1293.950392,72.47519582,1.524804178,1.342036554,0.13846676,0.588824671,0.77908673,0.133084033,-17358.91888,0,0
G24000504213001,319,81900,1205.326019,71.40125392,1.714733542,1.363636364,0.113659557,0.595395643,0.688387152,0.141740186,-18647.34396,0,0
G24000504213003,265,50500,1222.826415,82.67169811,1.775471698,1.328301887,0.118558163,0.526436818,0.659382027,0.127579847,-36553.60493,0,0
G24000504301012,689,91000,1123.699565,63.61393324,1.867924528,1.220609579,0.090811168,0.643042787,0.615231757,0.08442201,9279.851928,0.010702485,0.016897514
G24000504301041,372,132000,1288.043011,68.68010753,1.380376344,1.556451613,0.136813202,0.612045124,0.848057337,0.219011156,-10108.55275,0.003448707,0.005444957
G24000504301042,641,134837,1319.388456,66.88611544,1.425117005,1.677067083,0.145587231,0.623021762,0.826691715,0.267347967,-16021.12824,0.001350285,0.002131884
G24000504302001,262,129950,1228.198473,65.8129771,1.545801527,1.416030534,0.120061877,0.629587818,0.769059578,0.16273722,9393.890947,0,0
G24000504302002,565,120000,1324.915044,59.95575221,1.576106195,1.504424779,0.147134201,0.665425566,0.754587774,0.198161332,-16833.23667,0.0148954,0.023517456
G24000504302003,252,121750,1308.90873,75.75,1.478174603,1.51984127,0.142653809,0.568787604,0.801354392,0.204339512,-8135.781334,0,0
G24000504303001,665,79000,1071.714286,61.90075188,2,1.05112782,0.07625976,0.65352498,0.552159943,0.016501967,18855.27805,0,0
G24000504303002,696,68500,1040.87069,65.31178161,2,1.015804598,0.067626205,0.632654409,0.552159943,0.002346138,15816.90832,0,0
G24000504303003,487,1.00E+05,1227.429158,70.16632444,1.679671458,1.359342916,0.119846535,0.602951626,0.705130831,0.140019581,-5250.407457,0.052762425,0.08330344
G24000504303004,201,91988,1147.139303,74.3880597,1.609452736,1.328358209,0.097372279,0.577120709,0.738663342,0.127602418,-5668.884044,0,0
G24000504304001,420,129700,1286.347619,70.43571429,1.69047619,1.552380952,0.136338638,0.601303349,0.699971099,0.217379833,8487.937937,0.086658826,0.136820441
G24000504304002,369,160000,1472.569106,66.4796748,1.586720867,1.669376694,0.188464642,0.625508591,0.749518803,0.264266034,6612.804261,0.015623591,0.024667155
G24000504304003,581,149900,1460.672978,65.31325301,1.623063683,1.69535284,0.185134749,0.632645406,0.732163519,0.274676009,-2811.299691,0.266658751,0.421011563
G24000504306001,595,185000,1573.776471,57.16302521,1.850420168,1.665546218,0.216794002,0.682513018,0.623590854,0.262730965,32303.01346,0.014517995,0.022921594
G24000504306002,218,185000,2035.40367,89.16513761,1.786697248,1.839449541,0.346009924,0.486706356,0.654021336,0.332422956,5065.800734,0.030550528,0.048234403
